"Year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","4318.718644283203","4349.0136660253675","3167.1033734282655","3332.322888178152","2934.365141254458","3876.348002900893","4037.9273804110235","4146.333601264253","2890.883179134594","3017.6846438759576","2959.8923978513358","4037.89767769221"
"2","3785.327761517552","3610.2151677310844","3094.7628539782945","2995.8301681976445","3047.754153812593","3823.9795786531436","3596.9129106633295","3803.6072975921516","2681.912475849271","2726.0941258288617","2969.369416943528","3792.989798432498"
"3","4163.76088904735","4123.013499769732","2980.88396802569","2883.650081289973","3082.3669387298337","3538.8852524669387","3941.9248681732324","4032.4493719876737","2853.2977740406795","2992.267190795537","2954.022812606565","3829.5411708731413"
"4","3676.868276803638","3831.0744929580474","2891.0171062328177","2595.249312048997","2567.7345238016965","3298.3814671602304","3319.0746177070673","3631.3949341643147","2926.2821401736087","2765.782588462913","2665.609566284118","3595.9178201838467"
"5","4182.584798140482","3886.48692463693","3102.1242166823595","3244.5920272574335","2952.586969801483","3801.41455122209","3931.145401709723","3646.4705241583115","3216.029829419026","3075.766900352479","2856.5821698686073","4185.888386109624"
"6","3426.4905398943515","3602.213086956416","2703.0731921351644","2647.4372009540934","2732.927167660724","3463.4680659900514","3453.686737693565","3628.601424933757","3045.0169980252213","2981.7161180663447","2927.1355990296106","3775.5088976589377"
"7","4065.141404779837","4287.401667340716","2940.3832974145344","2899.7451940593483","3275.359933302998","3691.247753851333","4018.807828163233","3616.4389081413306","3027.1431423224094","3046.5414073530114","2849.3662277956373","3912.078670468758"
"8","3600.798503675489","3421.4225468513027","2876.926450906074","2820.888607945979","2632.367212464315","3153.812564000736","3392.2969174725454","3424.3738397620446","2570.611991836132","2702.2906600076944","2552.118818477248","3443.593075785577"
"9","3706.1239601260113","3500.6319278637193","2720.303892043065","2418.0645702180386","2881.231986372429","3339.5716899117424","3181.766817043706","3189.735552380884","2447.048204524733","2537.317971255463","2458.9991263635657","3264.0314586504646"
"10","3646.3469146854936","3829.033868822557","2781.0164007697667","2890.4950665806705","2932.9619644759077","3426.6974303184625","3442.077184781822","3726.5521226155734","2532.598125364868","2908.49436389361","2700.3552571285954","3828.4267694146506"
